num,Month,q
1,2018-01-01,9245.1
2,2018-02-01,7502.6
3,2018-03-01,6398.9
4,2018-04-01,7729.4
5,2018-05-01,7033.8
6,2018-06-01,6635.2
7,2018-07-01,6365.9
8,2018-08-01,4039.7
9,2018-09-01,3709.4
10,2018-10-01,10265.4
11,2018-11-01,10333.9
12,2018-12-01,6938.2
13,2019-01-01,5320.8
14,2019-02-01,8558.3
15,2019-03-01,10818.6
16,2019-04-01,10082
17,2019-05-01,9594.4
18,2019-06-01,8284.3
19,2019-07-01,9152.6
20,2019-08-01,7546.6
21,2019-09-01,7196.4
22,2019-10-01,3437.2
23,2019-11-01,3816.6
24,2019-12-01,4102.3
25,2020-01-01,8629
26,2020-02-01,9454.8
27,2020-03-01,9135.4
28,2020-04-01,11333.4
29,2020-05-01,11644.2
30,2020-06-01,10776.1
31,2020-07-01,13797.3
32,2020-08-01,19698.1
33,2020-09-01,28949.4
34,2020-10-01,9349.1
35,2020-11-01,8543.7
36,2020-12-01,6412.5
37,2021-01-01,57720.3
38,2021-02-01,37298.6
39,2021-03-01,35026.9
40,2021-04-01,41553.7
41,2021-05-01,47130.4
42,2021-06-01,43823.3
43,2021-07-01,61309.6
44,2021-08-01,56882.9
45,2021-09-01,46219.5
46,2021-10-01,33108.1
47,2021-11-01,45164
48,2021-12-01,58763.7
