num,date,q
1,2006-01-02,1389.27
2,2006-01-03,1394.87
3,2006-01-04,1402.11
4,2006-01-05,1395.51
5,2006-01-06,1412.78
6,2006-01-09,1408.33
7,2006-01-10,1396.29
8,2006-01-11,1394.09
9,2006-01-12,1402.58
10,2006-01-13,1416.28
11,2006-01-16,1421.79
12,2006-01-17,1389.58
13,2006-01-18,1352.91
14,2006-01-19,1360.64
15,2006-01-20,1324.78
16,2006-01-23,1297.43
17,2006-01-24,1326.83
18,2006-01-25,1342.59
19,2006-01-26,1352.75
20,2006-01-27,1384.56
21,2006-01-31,1399.83
22,2006-02-01,1375.97
23,2006-02-02,1374.44
24,2006-02-03,1333.5
25,2006-02-06,1341.64
26,2006-02-07,1332.28
27,2006-02-08,1310.99
28,2006-02-09,1321.66
29,2006-02-10,1335.23
30,2006-02-13,1320.79
31,2006-02-14,1328.21
32,2006-02-15,1303.84
33,2006-02-16,1314.32
34,2006-02-17,1332.73
35,2006-02-20,1348.25
36,2006-02-21,1346.49
37,2006-02-22,1340.58
38,2006-02-23,1361.23
39,2006-02-24,1365.82
40,2006-02-27,1374.88
41,2006-02-28,1371.59
42,2006-03-02,1367.7
43,2006-03-03,1328.95
44,2006-03-06,1344.76
45,2006-03-07,1316.67
46,2006-03-08,1314.05
47,2006-03-09,1311.21
48,2006-03-10,1320.07
49,2006-03-13,1338.28
50,2006-03-14,1326.3
51,2006-03-15,1333.98
52,2006-03-16,1335.98
53,2006-03-17,1341.12
54,2006-03-20,1346.69
55,2006-03-21,1336.65
56,2006-03-22,1309.83
57,2006-03-23,1312.26
58,2006-03-24,1321.23
59,2006-03-27,1330.34
60,2006-03-28,1331.31
61,2006-03-29,1332.72
62,2006-03-30,1338.14
63,2006-03-31,1359.6
64,2006-04-03,1379.75
65,2006-04-04,1385.64
66,2006-04-05,1388.77
67,2006-04-06,1397
68,2006-04-07,1402.36
69,2006-04-10,1398.29
70,2006-04-11,1386.08
71,2006-04-12,1383.59
72,2006-04-13,1405.72
73,2006-04-14,1432.72
74,2006-04-17,1422.63
75,2006-04-18,1427
76,2006-04-19,1437.84
77,2006-04-20,1434.15
78,2006-04-21,1451.31
79,2006-04-24,1430.94
80,2006-04-25,1431.15
81,2006-04-26,1451.22
82,2006-04-27,1452.53
83,2006-04-28,1419.73
