num,date,q
1,2006-01-02,659000
2,2006-01-03,665000
3,2006-01-04,699000
4,2006-01-05,679000
5,2006-01-06,687000
6,2006-01-09,688000
7,2006-01-10,698000
8,2006-01-11,683000
9,2006-01-12,684000
10,2006-01-13,694000
11,2006-01-16,706000
12,2006-01-17,697000
13,2006-01-18,680000
14,2006-01-19,689000
15,2006-01-20,687000
16,2006-01-23,685000
17,2006-01-24,698000
18,2006-01-25,714000
19,2006-01-26,716000
20,2006-01-27,720000
21,2006-01-31,740000
22,2006-02-01,730000
23,2006-02-02,725000
24,2006-02-03,704000
25,2006-02-06,706000
26,2006-02-07,706000
27,2006-02-08,690000
28,2006-02-09,691000
29,2006-02-10,687000
30,2006-02-13,678000
31,2006-02-14,673000
32,2006-02-15,654000
33,2006-02-16,656000
34,2006-02-17,673000
35,2006-02-20,683000
36,2006-02-21,672000
37,2006-02-22,670000
38,2006-02-23,681000
39,2006-02-24,681000
40,2006-02-27,691000
41,2006-02-28,687000
42,2006-03-02,686000
43,2006-03-03,652000
44,2006-03-06,658000
45,2006-03-07,629000
46,2006-03-08,623000
47,2006-03-09,615000
48,2006-03-10,620000
49,2006-03-13,632000
50,2006-03-14,624000
51,2006-03-15,629000
52,2006-03-16,632000
53,2006-03-17,637000
54,2006-03-20,638000
55,2006-03-21,635000
56,2006-03-22,614000
57,2006-03-23,608000
58,2006-03-24,609000
59,2006-03-27,624000
60,2006-03-28,628000
61,2006-03-29,626000
62,2006-03-30,623000
63,2006-03-31,630000
64,2006-04-03,646000
65,2006-04-04,653000
66,2006-04-05,648000
67,2006-04-06,657000
68,2006-04-07,654000
69,2006-04-10,642000
70,2006-04-11,636000
71,2006-04-12,630000
72,2006-04-13,638000
73,2006-04-14,655000
74,2006-04-17,648000
75,2006-04-18,655000
76,2006-04-19,665000
77,2006-04-20,663000
78,2006-04-21,690000
79,2006-04-24,673000
80,2006-04-25,660000
81,2006-04-26,668000
82,2006-04-27,664000
83,2006-04-28,644000
84,2006-05-02,649000
85,2006-05-03,639000
86,2006-05-04,645000
87,2006-05-08,655000
88,2006-05-09,661000
89,2006-05-10,657000
90,2006-05-11,663000
91,2006-05-12,655000
92,2006-05-15,650000
93,2006-05-16,641000
94,2006-05-17,653000
95,2006-05-18,641000
96,2006-05-19,638000
97,2006-05-22,624000
98,2006-05-23,630000
99,2006-05-24,629000
100,2006-05-25,616000
101,2006-05-26,620000
102,2006-05-29,622000
103,2006-05-30,612000
104,2006-06-01,606000
105,2006-06-02,614000
106,2006-06-05,613000
107,2006-06-07,599000
108,2006-06-08,575000
109,2006-06-09,575000
110,2006-06-12,572000
111,2006-06-13,549000
112,2006-06-14,553000
113,2006-06-15,553000
114,2006-06-16,571000
115,2006-06-19,564000
116,2006-06-20,556000
117,2006-06-21,556000
118,2006-06-22,565000
119,2006-06-23,568000
120,2006-06-26,582000
121,2006-06-27,583000
122,2006-06-28,580000
123,2006-06-29,590000
124,2006-06-30,603000
125,2006-07-03,605000
126,2006-07-04,601000
127,2006-07-05,603000
128,2006-07-06,598000
129,2006-07-07,601000
130,2006-07-10,606000
131,2006-07-11,608000
132,2006-07-12,608000
133,2006-07-13,600000
134,2006-07-14,584000
135,2006-07-18,582000
136,2006-07-19,580000
137,2006-07-20,598000
138,2006-07-21,597000
139,2006-07-24,588000
140,2006-07-25,598000
141,2006-07-26,599000
142,2006-07-27,604000
143,2006-07-28,600000
144,2006-07-31,608000
145,2006-08-01,605000
146,2006-08-02,609000
147,2006-08-03,610000
148,2006-08-04,615000
149,2006-08-07,606000
150,2006-08-08,615000
151,2006-08-09,616000
152,2006-08-10,614000
153,2006-08-11,607000
154,2006-08-14,605000
155,2006-08-16,618000
156,2006-08-17,644000
157,2006-08-18,658000
158,2006-08-21,657000
159,2006-08-22,658000
160,2006-08-23,646000
161,2006-08-24,637000
162,2006-08-25,646000
163,2006-08-28,643000
164,2006-08-29,660000
165,2006-08-30,652000
166,2006-08-31,650000
167,2006-09-01,653000
168,2006-09-04,656000
169,2006-09-05,657000
170,2006-09-06,654000
171,2006-09-07,649000
172,2006-09-08,647000
173,2006-09-11,633000
174,2006-09-12,632000
175,2006-09-13,642000
176,2006-09-14,655000
177,2006-09-15,656000
178,2006-09-18,673000
179,2006-09-19,672000
180,2006-09-20,667000
181,2006-09-21,665000
182,2006-09-22,654000
183,2006-09-25,650000
184,2006-09-26,651000
185,2006-09-27,659000
186,2006-09-28,668000
187,2006-09-29,664000
188,2006-10-02,665000
189,2006-10-04,648000
190,2006-10-09,642000
191,2006-10-10,640000
192,2006-10-11,640000
193,2006-10-12,636000
194,2006-10-13,644000
195,2006-10-16,650000
196,2006-10-17,647000
197,2006-10-18,642000
198,2006-10-19,636000
199,2006-10-20,631000
200,2006-10-23,625000
201,2006-10-24,626000
202,2006-10-25,625000
203,2006-10-26,629000
204,2006-10-27,620000
205,2006-10-30,609000
206,2006-10-31,611000
207,2006-11-01,615000
208,2006-11-02,614000
209,2006-11-03,611000
210,2006-11-06,605000
211,2006-11-07,609000
212,2006-11-08,615000
213,2006-11-09,631000
214,2006-11-10,629000
215,2006-11-13,639000
216,2006-11-14,647000
217,2006-11-15,662000
218,2006-11-16,657000
219,2006-11-17,654000
220,2006-11-20,652000
221,2006-11-21,650000
222,2006-11-22,660000
223,2006-11-23,654000
224,2006-11-24,652000
225,2006-11-27,642000
226,2006-11-28,630000
227,2006-11-29,629000
228,2006-11-30,638000
229,2006-12-01,640000
230,2006-12-04,641000
231,2006-12-05,638000
232,2006-12-06,635000
233,2006-12-07,626000
234,2006-12-08,611000
235,2006-12-11,604000
236,2006-12-12,600000
237,2006-12-13,602000
238,2006-12-14,614000
239,2006-12-15,608000
240,2006-12-18,610000
241,2006-12-19,610000
242,2006-12-20,616000
243,2006-12-21,615000
244,2006-12-22,610000
245,2006-12-26,606000
246,2006-12-27,612000
247,2006-12-28,613000
248,2007-01-02,625000
249,2007-01-03,611000
250,2007-01-04,607000
251,2007-01-05,595000
252,2007-01-08,582000
253,2007-01-09,586000
254,2007-01-10,578000
255,2007-01-11,582000
256,2007-01-12,603000
257,2007-01-15,612000
258,2007-01-16,613000
259,2007-01-17,602000
260,2007-01-18,595000
261,2007-01-19,585000
262,2007-01-22,591000
263,2007-01-23,596000
264,2007-01-24,601000
265,2007-01-25,603000
266,2007-01-26,587000
267,2007-01-29,578000
268,2007-01-30,583000
269,2007-01-31,579000
270,2007-02-01,580000
271,2007-02-02,587000
272,2007-02-05,586000
273,2007-02-06,587000
274,2007-02-07,586000
275,2007-02-08,581000
276,2007-02-09,585000
277,2007-02-12,572000
278,2007-02-13,562000
279,2007-02-14,567000
280,2007-02-15,574000
281,2007-02-16,590000
282,2007-02-20,600000
283,2007-02-21,606000
284,2007-02-22,602000
285,2007-02-23,593000
286,2007-02-26,583000
287,2007-02-27,581000
288,2007-02-28,567000
289,2007-03-02,566000
290,2007-03-05,563000
291,2007-03-06,569000
292,2007-03-07,570000
293,2007-03-08,574000
294,2007-03-09,586000
295,2007-03-12,602000
296,2007-03-13,600000
297,2007-03-14,584000
298,2007-03-15,586000
299,2007-03-16,589000
300,2007-03-19,587000
301,2007-03-20,579000
302,2007-03-21,579000
303,2007-03-22,582000
304,2007-03-23,580000
305,2007-03-26,584000
306,2007-03-27,580000
307,2007-03-28,572000
308,2007-03-29,569000
309,2007-03-30,563000
310,2007-04-02,566000
311,2007-04-03,574000
312,2007-04-04,595000
313,2007-04-05,593000
314,2007-04-06,587000
315,2007-04-09,584000
316,2007-04-10,578000
317,2007-04-11,599000
318,2007-04-12,604000
319,2007-04-13,601000
320,2007-04-16,593000
321,2007-04-17,593000
322,2007-04-18,583000
323,2007-04-19,569000
324,2007-04-20,573000
325,2007-04-23,570000
326,2007-04-24,571000
327,2007-04-25,564000
328,2007-04-26,580000
329,2007-04-27,580000
330,2007-04-30,574000
331,2007-05-02,575000
332,2007-05-03,574000
333,2007-05-04,576000
334,2007-05-07,587000
335,2007-05-08,582000
336,2007-05-09,580000
337,2007-05-10,575000
338,2007-05-11,573000
339,2007-05-14,574000
340,2007-05-15,573000
341,2007-05-16,570000
342,2007-05-17,566000
343,2007-05-18,554000
344,2007-05-21,552000
345,2007-05-22,565000
346,2007-05-23,562000
347,2007-05-25,552000
348,2007-05-28,548000
349,2007-05-29,537000
350,2007-05-30,532000
351,2007-05-31,535000
352,2007-06-01,556000
353,2007-06-04,572000
354,2007-06-05,571000
355,2007-06-07,569000
356,2007-06-08,572000
357,2007-06-11,578000
358,2007-06-12,578000
359,2007-06-13,573000
360,2007-06-14,581000
361,2007-06-15,574000
362,2007-06-18,589000
363,2007-06-19,585000
364,2007-06-20,577000
365,2007-06-21,589000
366,2007-06-22,591000
367,2007-06-25,588000
368,2007-06-26,588000
369,2007-06-27,581000
370,2007-06-28,578000
371,2007-06-29,566000
372,2007-07-02,565000
373,2007-07-03,571000
374,2007-07-04,578000
375,2007-07-05,591000
376,2007-07-06,627000
377,2007-07-09,643000
378,2007-07-10,629000
379,2007-07-11,635000
380,2007-07-12,646000
381,2007-07-13,687000
382,2007-07-16,650000
383,2007-07-18,640000
384,2007-07-19,636000
385,2007-07-20,661000
386,2007-07-23,658000
387,2007-07-24,654000
388,2007-07-25,648000
389,2007-07-26,626000
390,2007-07-27,596000
391,2007-07-30,610000
392,2007-07-31,614000
393,2007-08-01,581000
394,2007-08-02,590000
395,2007-08-03,590000
396,2007-08-06,584000
397,2007-08-07,584000
398,2007-08-08,602000
399,2007-08-09,621000
400,2007-08-10,603000
401,2007-08-13,613000
402,2007-08-14,612000
403,2007-08-16,580000
404,2007-08-17,572000
405,2007-08-20,590000
406,2007-08-21,592000
407,2007-08-22,594000
408,2007-08-23,599000
409,2007-08-24,586000
410,2007-08-27,577000
411,2007-08-28,576000
412,2007-08-29,562000
413,2007-08-30,572000
414,2007-08-31,591000
415,2007-09-03,576000
416,2007-09-04,575000
417,2007-09-05,569000
418,2007-09-06,575000
419,2007-09-07,575000
420,2007-09-10,563000
421,2007-09-11,567000
422,2007-09-12,560000
423,2007-09-13,562000
424,2007-09-14,556000
425,2007-09-17,545000
426,2007-09-18,542000
427,2007-09-19,552000
428,2007-09-20,546000
429,2007-09-21,534000
430,2007-09-27,558000
431,2007-09-28,575000
432,2007-10-01,573000
433,2007-10-02,579000
434,2007-10-04,565000
435,2007-10-05,553000
436,2007-10-08,551000
437,2007-10-09,537000
438,2007-10-10,552000
439,2007-10-11,555000
440,2007-10-12,557000
441,2007-10-15,542000
442,2007-10-16,515000
443,2007-10-17,515000
444,2007-10-18,522000
445,2007-10-19,540000
446,2007-10-22,522000
447,2007-10-23,522000
448,2007-10-24,513000
449,2007-10-25,507000
450,2007-10-26,532000
451,2007-10-29,545000
452,2007-10-30,544000
453,2007-10-31,550000
454,2007-11-01,549000
455,2007-11-02,540000
456,2007-11-05,528000
457,2007-11-06,548000
458,2007-11-07,570000
459,2007-11-08,536000
460,2007-11-09,540000
461,2007-11-12,532000
462,2007-11-13,532000
463,2007-11-14,547000
464,2007-11-15,570000
465,2007-11-16,557000
466,2007-11-19,541000
467,2007-11-20,531000
468,2007-11-21,515000
469,2007-11-22,539000
470,2007-11-23,557000
471,2007-11-26,563000
472,2007-11-27,539000
473,2007-11-28,544000
474,2007-11-29,567000
475,2007-11-30,565000
476,2007-12-03,566000
477,2007-12-04,575000
478,2007-12-05,582000
479,2007-12-06,612000
480,2007-12-07,608000
481,2007-12-10,614000
482,2007-12-11,603000
483,2007-12-12,598000
484,2007-12-13,590000
485,2007-12-14,581000
486,2007-12-17,560000
487,2007-12-18,560000
488,2007-12-20,559000
489,2007-12-21,560000
490,2007-12-24,578000
491,2007-12-26,576000
492,2007-12-27,570000
493,2007-12-28,556000
494,2008-01-02,544000
495,2008-01-03,546000
496,2008-01-04,539000
497,2008-01-07,519000
498,2008-01-08,516000
499,2008-01-09,525000
500,2008-01-10,516000
501,2008-01-11,516000
502,2008-01-14,525000
503,2008-01-15,532000
504,2008-01-16,530000
505,2008-01-17,560000
506,2008-01-18,567000
507,2008-01-21,564000
508,2008-01-22,536000
509,2008-01-23,540000
510,2008-01-24,556000
511,2008-01-25,561000
512,2008-01-28,539000
513,2008-01-29,558000
514,2008-01-30,571000
515,2008-01-31,595000
516,2008-02-01,586000
517,2008-02-04,612000
518,2008-02-05,613000
519,2008-02-11,584000
520,2008-02-12,573000
521,2008-02-13,574000
522,2008-02-14,593000
523,2008-02-15,586000
524,2008-02-18,577000
525,2008-02-19,587000
526,2008-02-20,578000
527,2008-02-21,594000
528,2008-02-22,582000
529,2008-02-25,581000
530,2008-02-26,571000
531,2008-02-27,578000
532,2008-02-28,580000
533,2008-02-29,560000
534,2008-03-03,549000
535,2008-03-04,552000
536,2008-03-05,562000
537,2008-03-06,562000
538,2008-03-07,550000
539,2008-03-10,554000
540,2008-03-11,555000
541,2008-03-12,560000
542,2008-03-13,550000
543,2008-03-14,547000
544,2008-03-17,550000
545,2008-03-18,568000
546,2008-03-19,591000
547,2008-03-20,606000
548,2008-03-21,607000
549,2008-03-24,599000
550,2008-03-25,610000
551,2008-03-26,612000
552,2008-03-27,605000
553,2008-03-28,613000
554,2008-03-31,623000
555,2008-04-01,636000
556,2008-04-02,661000
557,2008-04-03,662000
558,2008-04-04,650000
559,2008-04-07,650000
560,2008-04-08,646000
561,2008-04-10,656000
