num,date,q
1,10-Jan,784000 
2,10-Feb,744000 
3,10-Mar,818000 
4,10-Apr,849000 
5,10-May,776000 
6,10-Jun,774000 
7,10-Jul,810000 
8,10-Aug,756000 
9,10-Sep,777000 
10,10-Oct,745000 
11,10-Nov,826000 
12,10-Dec,949000 
13,11-Jan,981000 
14,11-Feb,923000 
15,11-Mar,932000 
16,11-Apr,893000 
17,11-May,902000 
18,11-Jun,826000 
19,11-Jul,844000 
20,11-Aug,744000 
21,11-Sep,840000 
22,11-Oct,968000 
23,11-Nov,1004000 
24,11-Dec,1058000 
25,12-Jan,1107000 
26,12-Feb,1206000 
27,12-Mar,1275000 
28,12-Apr,1390000 
29,12-May,1211000 
30,12-Jun,1201000 
31,12-Jul,1309000 
32,12-Aug,1233000 
33,12-Sep,1346000 
34,12-Oct,1310000 
35,12-Nov,1406000 
36,12-Dec,1522000 
37,13-Jan,1448000 
38,13-Feb,1544000 
39,13-Mar,1527000 
40,13-Apr,1520000 
41,13-May,1538000 
42,13-Jun,1342000 
43,13-Jul,1280000 
44,13-Aug,1368000 
45,13-Sep,1367000 
46,13-Oct,1465000 
47,13-Nov,1494000 
48,13-Dec,1372000 
49,14-Jan,1280000 
50,14-Feb,1349000 
51,14-Mar,1343000 
52,14-Apr,1343000 
53,14-May,1443000 
54,14-Jun,1322000 
55,14-Jul,1343000 
56,14-Aug,1234000 
57,14-Sep,1184000 
58,14-Oct,1244000 
59,14-Nov,1287000 
60,14-Dec,1327000 
61,15-Jan,1365000 
62,15-Feb,1357000 
63,15-Mar,1441000 
64,15-Apr,1410000 
65,15-May,1307000 
66,15-Jun,1268000 
67,15-Jul,1185000 
68,15-Aug,1089000 
69,15-Sep,1134000 
70,15-Oct,1372000 
71,15-Nov,1284000 
72,15-Dec,1260000 
73,16-Jan,1150000 
74,16-Feb,1178000 
75,16-Mar,1312000 
76,16-Apr,1245000 
77,16-May,1292000 
78,16-Jun,1425000 
79,16-Jul,1539000 
80,16-Aug,1620000 
81,16-Sep,1598000 
82,16-Oct,1639000 
83,16-Nov,1746000 
84,16-Dec,1802000 
85,17-Jan,1973000 
86,17-Feb,1922000 
87,17-Mar,2060000 
88,17-Apr,2231000 
89,17-May,2235000 
90,17-Jun,2377000 
91,17-Jul,2410000 
92,17-Aug,2316000 
93,17-Sep,2564000 
94,17-Oct,2754000 
95,17-Nov,2540000 
96,17-Dec,2548000 
97,18-Jan,2495000 
98,18-Feb,2353000 
99,18-Mar,2461000 
100,18-Apr,2650000 
101,18-May,50700 
102,18-Jun,46650 
103,18-Jul,46250 
104,18-Aug,48450 
105,18-Sep,46450 
106,18-Oct,42400 
107,18-Nov,41850 
108,18-Dec,38700 
109,19-Jan,46150 
110,19-Feb,45100 
111,19-Mar,44650 
112,19-Apr,45850 
113,19-May,42500 
114,19-Jun,47000 
115,19-Jul,45350 
116,19-Aug,44000 
117,19-Sep,49050 
118,19-Oct,50400 
119,19-Nov,50300 
120,19-Dec,55800 
121,20-Jan,56400 
122,20-Feb,54200 
123,20-Mar,47750 
124,20-Apr,50000 
125,20-May,50700 
126,20-Jun,52800 
127,20-Jul,57900 
128,20-Aug,54000 
129,20-Sep,58200 
130,20-Oct,56600 
131,20-Nov,66700 
132,20-Dec,81000 
133,21-Jan,82000 
134,21-Feb,82500 
135,21-Mar,81400 
136,21-Apr,81500 
137,21-May,80500 
138,21-Jun,80700 
139,21-Jul,78500 
140,21-Aug,76700 
141,21-Sep,74100 
142,21-Oct,69800 
143,21-Nov,71300 
144,21-Dec,78300 
