date,temp,q
2006-01-01,-0.3,1.492
2006-01-02,-1,0
2006-01-03,-3.3,6.803
2006-01-04,-6.8,6.414
2006-01-05,-8.8,6.626
2006-01-06,-11.5,1.65
2006-01-07,-12.1,6.149
2006-01-08,-10.5,1.785
2006-01-09,-7.3,6.272
2006-01-10,-4,1.608
2006-01-11,-6.9,6.584
2006-01-12,-3.2,1.743
2006-01-13,0.8,16.936
2006-01-14,2,6.307
2006-01-15,0.3,5.63
2006-01-16,-1.2,15.447
2006-01-17,-1.7,6.43
2006-01-18,-1,11.294
2006-01-19,-1.2,6.353
2006-01-20,-1.3,11.406
2006-01-21,-2.6,1.824
2006-01-22,-4.7,6.876
2006-01-23,-6.9,5.488
2006-01-24,-6.8,6.8
2006-01-25,-5.4,6.511
2006-01-26,-3.8,2.381
2006-01-27,-0.2,7.523
2006-01-28,-3.2,6.446
2006-01-29,0.8,1.628
2006-01-30,4.2,6.557
2006-01-31,1.4,10.675
2006-02-01,0,11.875
2006-02-02,-3.5,1.274
2006-02-03,-11,6.492
2006-02-04,-11.3,6.592
2006-02-05,-8.8,3.12
2006-02-06,-3,6.415
2006-02-07,-0.8,6.727
2006-02-08,-7.6,6.638
2006-02-09,-7.6,1.767
2006-02-10,0,1.69
2006-02-11,0.3,4.431
2006-02-12,-2.9,4.724
2006-02-13,2.4,4.605
2006-02-14,5.6,9.423
2006-02-15,2.5,9.092
2006-02-16,0.8,9.55
2006-02-17,-4.5,9.619
2006-02-18,-2.2,3.963
2006-02-19,-0.1,9.547
2006-02-20,0.8,5.025
2006-02-21,2.3,4.895
2006-02-22,3.4,10.555
2006-02-23,0.3,5.057
2006-02-24,1.3,9.794
2006-02-25,1.4,5.496
2006-02-26,1.5,4.677
2006-02-27,-1.1,10.002
2006-02-28,0.9,1.306
2006-03-01,-0.1,14.651
2006-03-02,-1.4,0.868
2006-03-03,-1.8,1.772
2006-03-04,1.3,6.251
2006-03-05,5.7,6.144
2006-03-06,1.5,10.677
2006-03-07,3.6,6.494
2006-03-08,3.5,10.816
2006-03-09,6.5,10.774
2006-03-10,8,7.103
2006-03-11,7.5,11.113
2006-03-12,-2.9,10.582
2006-03-13,-3.5,11.128
2006-03-14,0.1,9.898
2006-03-15,5,15.561
2006-03-16,3.2,2.525
2006-03-17,6.5,11.494
2006-03-18,7.2,10.752
2006-03-19,3.9,5.339
2006-03-20,3.7,15.75
2006-03-21,5.8,10.538
2006-03-22,8.3,11.795
2006-03-23,6.6,2.981
2006-03-24,4.4,11.834
2006-03-25,9,15.517
2006-03-26,6.9,11.75
2006-03-27,6.1,3.394
2006-03-28,2.4,15.879
2006-03-29,2,12.147
2006-03-30,1.6,12.093
2006-03-31,5,3.906
2006-04-01,8.1,16.11
2006-04-02,8.2,19.512
2006-04-03,8.9,45.6
2006-04-04,7.5,54.022
2006-04-05,8.7,20.035
2006-04-06,7.5,29.08
2006-04-07,10.3,24.636
2006-04-08,11.1,25.159
2006-04-09,10,33.569
2006-04-10,10.1,41.656
2006-04-11,11,54.187
2006-04-12,10.8,71.073
2006-04-13,5,58.154
2006-04-14,8.4,45
2006-04-15,7.1,37.101
2006-04-16,6.8,29.203
2006-04-17,7.5,33.169
2006-04-18,11.5,12.617
2006-04-19,6,104.756
